timestamp,benchmark,validation_mode,version,threads,mean_seconds,median_seconds,std_dev,min_seconds,max_seconds,scaling_speedup,speedup_vs_sequential,efficiency_vs_sequential
2026-09-02T16:18:31.613638,dot,numeric,sequential,1,0.011181082,0.011024406,0.0003572014968932795,0.010770577,0.011725049999999999,1.0,1.0,1.0
2026-09-02T16:18:31.613638,dot,numeric,openmp,1,0.0139466484,0.013955332,0.0009145577238623261,0.012697584000000001,0.015457417,1.0,0.7899780528331393,0.7899780528331393
2026-09-02T16:18:31.613638,dot,numeric,openmp,2,0.0111919522,0.010926926,0.0007716871951692348,0.010347587,0.012526882000000001,1.2771507741518522,1.0089210817388166,0.5044605408694083
2026-09-02T16:18:31.613638,dot,numeric,openmp,4,0.0111211396,0.010860603,0.0005912891951045951,0.010510296,0.012206204,1.2849500161270972,1.0150823117279952,0.2537705779319988
2026-09-02T16:33:53.544201,dot,numeric,sequential,1,0.011520116,0.011252884,0.000676020569300077,0.010887062,0.012821272,1.0,1.0,1.0
2026-09-02T16:33:53.544201,dot,numeric,openmp,1,0.0127749132,0.012787639,0.0001817398926019269,0.012540081000000002,0.013071248,1.0,0.8799813632524346,0.8799813632524346
2026-09-02T16:33:53.544201,dot,numeric,openmp,2,0.0110828864,0.010805608,0.0007857896829174079,0.010546027000000001,0.012631463,1.1834261431656599,1.0413929507714883,0.5206964753857442
2026-09-02T16:33:53.544201,dot,numeric,openmp,4,0.0109231044,0.010664213,0.0005261070212424845,0.010372316,0.011626615,1.1991169906302508,1.055200604113965,0.26380015102849125
2026-09-02T16:35:24.191516,dot,numeric,sequential,1,0.0111569442,0.010970810999999999,0.00045344782195679353,0.010735316,0.012007812,1.0,1.0,1.0
2026-09-02T16:35:24.191516,dot,numeric,openmp,1,0.0152811526,0.013906245,0.00265295193605392,0.012777951,0.020236237,1.0,0.7889125353393385,0.7889125353393385
2026-09-02T16:35:24.191516,dot,numeric,openmp,2,0.012232855400000001,0.011909205,0.0015800079175813766,0.010338093000000001,0.014325997,1.1676887751953215,0.9212043121266279,0.46060215606331395
2026-09-02T16:35:24.191516,dot,numeric,openmp,4,0.0110477466,0.011182197999999999,0.0006240212272413814,0.010108078000000001,0.011880928,1.2436056846784505,0.9810961136620904,0.2452740284155226
2026-09-04T13:33:36.510227,dot,numeric,sequential,1,0.011052461400000001,0.01082013,0.0005358497710924581,0.010720738,0.012121256,1.0,1.0,1.0
2026-09-04T13:33:36.510227,dot,numeric,openmp,1,0.0129455396,0.012736977,0.0005342165212550427,0.012525370000000001,0.014000839,1.0,0.849505341809128,0.849505341809128
2026-09-04T13:33:36.510227,dot,numeric,openmp,2,0.0107335066,0.010720749,0.00010190910731941493,0.010625675,0.010898358,1.1880678299622536,1.0092699679845132,0.5046349839922566
2026-09-04T13:33:36.510227,dot,numeric,openmp,4,0.0107828374,0.01067163,0.00028096592434500006,0.010460972,0.011146635,1.1935362264246419,1.013915399990442,0.2534788499976105
