mode,threads,median_seconds,mean_seconds,speedup,efficiency
sequential,1,0.01044670859,0.010525735718,1.0,1.0
openmp,1,0.0111384551,0.011146528342,0.9378956503581901,0.9378956503581901
openmp,2,0.00830630091,0.008237002042000001,1.257684823026716,0.628842411513358
openmp,4,0.00885977748,0.009465143386,1.1791163619608196,0.2947790904902049
