timestamp,threads,mean_seconds,median_seconds,std_dev,min_seconds,max_seconds,scaling_speedup,speedup_vs_sequential,efficiency_vs_sequential
2026-09-01T16:24:29.146708,1,2.583425,2.578787,0.01574044381839352,2.561435,2.609402,1.0,0.9934604913085106,0.9934604913085106
2026-09-01T16:24:29.146755,2,2.1917744,2.193586,0.003287275504121886,2.186824,2.195129,1.175603327154714,1.1679154589790417,0.5839577294895208
2026-09-01T16:24:29.146781,4,2.276979,2.247659,0.10255798556719015,2.157284,2.451981,1.1473212796069154,1.1398183621269953,0.2849545905317488
2026-09-01T16:29:48.643467,1,2.5651238,2.556451,0.019003937480427526,2.539657,2.593174,1.0,1.0021404673901437,1.0021404673901437
2026-09-01T16:29:48.643553,2,2.1606374,2.153018,0.01281001031381324,2.149127,2.180807,1.1873802262684288,1.1899217749224578,0.5949608874612289
2026-09-01T16:29:48.643576,4,2.232953,2.232346,0.027178438821977995,2.196609,2.27224,1.1451858269282629,1.1476370598464576,0.2869092649616144
2026-09-01T16:35:42.188502,1,2.6714454,2.68964,0.05917004918571558,2.590461,2.757838,1.0,0.9525152064960368,0.9525152064960368
2026-09-01T16:35:42.188561,2,2.20062,2.203751,0.012218303924849745,2.180234,2.217446,1.220482713337396,1.162528343719413,0.5812641718597065
2026-09-01T16:35:42.188586,4,2.4767145999999998,2.349431,0.26222176754617454,2.260786,2.964016,1.144804848493103,1.0904440266600721,0.27261100666501803
2026-09-02T11:06:40.295685,1,2.6184804,2.620638,0.012013876553386142,2.60419,2.632371,1.0,0.9775951504938875,0.9775951504938875
2026-09-02T11:06:40.295748,2,2.2462906,2.275241,0.05568404953162083,2.169518,2.316272,1.151806775633878,1.1260007181656801,0.5630003590828401
2026-09-02T11:06:40.295772,4,2.4148576,2.421684,0.07621824598506585,2.289134,2.505476,1.0821552275193627,1.0579097025045383,0.2644774256261346
